FolioURN,Sequence,RV,Label,DefaultImageURN
urn:cite:bla:bbb318.74r,147,recto,"Bern, Burgerbibliothek, Cod. 318, 74r",urn:cite:ecodices:bbb318img.bbb318_074r
urn:cite:bla:bbb318.74v,148,verso,"Bern, Burgerbibliothek, Cod. 318, 74v",urn:cite:ecodices:bbb318img.bbb318_074v
urn:cite:bla:bbb318.75r,149,recto,"Bern, Burgerbibliothek, Cod. 318, 75r",urn:cite:ecodices:bbb318img.bbb318_075r
urn:cite:bla:bbb318.75v,150,verso,"Bern, Burgerbibliothek, Cod. 318, 75v",urn:cite:ecodices:bbb318img.bbb318_075v
urn:cite:bla:bbb318.76r,151,recto,"Bern, Burgerbibliothek, Cod. 318, 76r",urn:cite:ecodices:bbb318img.bbb318_076r
urn:cite:bla:bbb318.76v,152,verso,"Bern, Burgerbibliothek, Cod. 318, 76v",urn:cite:ecodices:bbb318img.bbb318_076v
urn:cite:bla:bbb318.77r,153,recto,"Bern, Burgerbibliothek, Cod. 318, 77r",urn:cite:ecodices:bbb318img.bbb318_077r
urn:cite:bla:bbb318.77v,154,verso,"Bern, Burgerbibliothek, Cod. 318, 77v",urn:cite:ecodices:bbb318img.bbb318_077v
urn:cite:bla:bbb318.78r,155,recto,"Bern, Burgerbibliothek, Cod. 318, 78r",urn:cite:ecodices:bbb318img.bbb318_078r
urn:cite:bla:bbb318.78v,156,verso,"Bern, Burgerbibliothek, Cod. 318, 78v",urn:cite:ecodices:bbb318img.bbb318_078v
urn:cite:bla:bbb318.79r,157,recto,"Bern, Burgerbibliothek, Cod. 318, 79r",urn:cite:ecodices:bbb318img.bbb318_079r
urn:cite:bla:bbb318.79v,158,verso,"Bern, Burgerbibliothek, Cod. 318, 79v",urn:cite:ecodices:bbb318img.bbb318_079v
urn:cite:bla:bbb318.80r,159,recto,"Bern, Burgerbibliothek, Cod. 318, 80r",urn:cite:ecodices:bbb318img.bbb318_080r
urn:cite:bla:bbb318.80v,160,verso,"Bern, Burgerbibliothek, Cod. 318, 80v",urn:cite:ecodices:bbb318img.bbb318_080v
urn:cite:bla:bbb318.81r,161,recto,"Bern, Burgerbibliothek, Cod. 318, 81r",urn:cite:ecodices:bbb318img.bbb318_081r
urn:cite:bla:bbb318.81v,162,verso,"Bern, Burgerbibliothek, Cod. 318, 81v",urn:cite:ecodices:bbb318img.bbb318_081v
urn:cite:bla:bbb318.82r,163,recto,"Bern, Burgerbibliothek, Cod. 318, 82r",urn:cite:ecodices:bbb318img.bbb318_082r
urn:cite:bla:bbb318.82v,164,verso,"Bern, Burgerbibliothek, Cod. 318, 82v",urn:cite:ecodices:bbb318img.bbb318_082v
urn:cite:bla:bbb318.83r,165,recto,"Bern, Burgerbibliothek, Cod. 318, 83r",urn:cite:ecodices:bbb318img.bbb318_083r
urn:cite:bla:bbb318.83v,166,verso,"Bern, Burgerbibliothek, Cod. 318, 83v",urn:cite:ecodices:bbb318img.bbb318_083v
urn:cite:bla:bbb318.84r,167,recto,"Bern, Burgerbibliothek, Cod. 318, 84r",urn:cite:ecodices:bbb318img.bbb318_084r
urn:cite:bla:bbb318.84v,168,verso,"Bern, Burgerbibliothek, Cod. 318, 84v",urn:cite:ecodices:bbb318img.bbb318_084v
urn:cite:bla:bbb318.85r,169,recto,"Bern, Burgerbibliothek, Cod. 318, 85r",urn:cite:ecodices:bbb318img.bbb318_085r
urn:cite:bla:bbb318.85v,170,verso,"Bern, Burgerbibliothek, Cod. 318, 85v",urn:cite:ecodices:bbb318img.bbb318_085v
urn:cite:bla:bbb318.86r,171,recto,"Bern, Burgerbibliothek, Cod. 318, 86r",urn:cite:ecodices:bbb318img.bbb318_086r
urn:cite:bla:bbb318.86v,172,verso,"Bern, Burgerbibliothek, Cod. 318, 86v",urn:cite:ecodices:bbb318img.bbb318_086v
urn:cite:bla:bbb318.87r,173,recto,"Bern, Burgerbibliothek, Cod. 318, 87r",urn:cite:ecodices:bbb318img.bbb318_087r
urn:cite:bla:bbb318.87v,174,verso,"Bern, Burgerbibliothek, Cod. 318, 87v",urn:cite:ecodices:bbb318img.bbb318_087v
urn:cite:bla:bbb318.88r,175,recto,"Bern, Burgerbibliothek, Cod. 318, 88r",urn:cite:ecodices:bbb318img.bbb318_088r
urn:cite:bla:bbb318.88v,176,verso,"Bern, Burgerbibliothek, Cod. 318, 88v",urn:cite:ecodices:bbb318img.bbb318_088v
urn:cite:bla:bbb318.89r,177,recto,"Bern, Burgerbibliothek, Cod. 318, 89r",urn:cite:ecodices:bbb318img.bbb318_089r
